"Row.names" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "product_name" "kegg_entry" "kegg_definition" "kegg_module" "kegg_module_desc" "kegg_pathway" "kegg_pathway_desc" "pfam_access" "pfam_product_name" "pfam_desc" "tigrfam_access" "tigrfam_name" "tigrfam_product_name" "tigrfam_desc" "cog_access" "cog_name" "cog_function" "cog_category" "kog_access" "kog_name" "kog_function" "kog_category" "ublastp" "ublastp_desc" "tax_kingdom" "tax_phylum" "tax_class" "tax_order" "tax_family" "tax_genus" "tax_specie"
"43" "NMG90_00215" 11005.1129148504 0.358275391639447 0.174478024512333 2.05341270134637 0.0400325684959291 0.99588490034801 "NULL" "NULL" "binding--dependent transport system inner membrane component family protein" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "COG1173" "DppC" "ABC-type dipeptide/oligopeptide/nickel transport systems, permease components" "Amino acid transport and metabolism / Inorganic ion transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"76" "NMG90_00390" 2385.01227206609 0.307595562723016 0.143868079917714 2.13803897917416 0.0325135797552179 0.99588490034801 "catB" "K00638" "chloramphenicol O-acetyltransferase type B" "NULL" "NULL" "NULL" "NULL" "PF00132.23" "Hexapep" "-" "NULL" "NULL" "NULL" "NULL" "COG0110" "WbbJ" "Acetyltransferase (isoleucine patch superfamily)" "General function prediction only" "KOG4750" "KOG4750" "Serine O-acetyltransferase" "Amino acid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"217" "NMG90_01185" 8064.80843504248 0.43842053978639 0.20077600557481 2.18363015307142 0.0289894360070713 0.99588490034801 "metI" "K02072" "D-methionine transport system permease protein" "NULL" "NULL" "ko02010" "ABC transporters" "PF00528.21" "BPD_transp_1" "-" "NULL" "NULL" "NULL" "NULL" "COG2011" "AbcD" "ABC-type metal ion transport system, permease component" "Inorganic ion transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"218" "NMG90_01190" 12729.7753273888 0.512002152442899 0.229260972442232 2.23327218317505 0.0255310007330546 0.99588490034801 "metQ" "K02073" "D-methionine transport system substrate-binding protein" "NULL" "NULL" "ko02010" "ABC transporters" "PF03180.13" "Lipoprotein_9" "-" "NULL" "NULL" "NULL" "NULL" "COG1464" "NlpA" "ABC-type metal ion transport system, periplasmic component/surface antigen" "Inorganic ion transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"219" "NMG90_01195" 3513.47029894212 0.58133741775643 0.276876223979668 2.09962924732432 0.0357614678963149 0.99588490034801 "metQ" "K02073" "D-methionine transport system substrate-binding protein" "NULL" "NULL" "ko02010" "ABC transporters" "PF03180.13" "Lipoprotein_9" "-" "NULL" "NULL" "NULL" "NULL" "COG1464" "NlpA" "ABC-type metal ion transport system, periplasmic component/surface antigen" "Inorganic ion transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"227" "NMG90_01235" 133.103031689932 -0.735403726656664 0.294861524219872 -2.49406472615359 0.012628951301294 0.99588490034801 "NULL" "NULL" "Sporulation protein YunB" "NULL" "NULL" "NULL" "NULL" "PF09560.9" "Spore_YunB" "-" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"629" "NMG90_03410" 118.141957290587 0.521852104390857 0.229449740961788 2.27436344971845 0.022944143133468 0.99588490034801 "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "PF13786.5" "DUF4179" "-" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"694" "NMG90_03735" 372.904717364149 -0.365373936308133 0.17396559728584 -2.10026546632546 0.0357054953067062 0.99588490034801 "tetB" "K08168" "MFS transporter, DHA2 family, metal-tetracycline-proton antiporter" "M00704" "Tetracycline resistance, efflux pump Tet38" "NULL" "NULL" "PF01965.23" "DJ-1_PfpI" "-" "NULL" "NULL" "NULL" "NULL" "COG2814" "AraJ" "Arabinose efflux permease" "Carbohydrate transport and metabolism" "KOG0255" "KOG0255" "Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily)" "General function prediction only" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"707" "NMG90_03810" 6303.02041384948 -0.240247447274752 0.117010987559107 -2.05320416728722 0.0400527804309205 0.99588490034801 "engB" "K03978" "GTP-binding protein" "NULL" "NULL" "NULL" "NULL" "PF01926.22" "MMR_HSR1" "-" "NULL" "NULL" "NULL" "NULL" "COG0218" "COG0218" "Predicted GTPase" "General function prediction only" "KOG2486" "KOG2486" "Predicted GTPase" "General function prediction only" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"821" "NMG90_04385" 1768.91458229802 0.498443258863226 0.169884324392879 2.93401560529217 0.00334607384712212 0.99588490034801 "doxD" "K16937" "thiosulfate dehydrogenase (quinone) large subunit" "NULL" "NULL" "ko00920==ko01100==ko01120" "Sulfur metabolism==Metabolic pathways==Microbial metabolism in diverse environments" "PF07681.11" "DoxX" "-" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
