"Row.names" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "product_name" "kegg_entry" "kegg_definition" "kegg_module" "kegg_module_desc" "kegg_pathway" "kegg_pathway_desc" "pfam_access" "pfam_product_name" "pfam_desc" "tigrfam_access" "tigrfam_name" "tigrfam_product_name" "tigrfam_desc" "cog_access" "cog_name" "cog_function" "cog_category" "kog_access" "kog_name" "kog_function" "kog_category" "ublastp" "ublastp_desc" "tax_kingdom" "tax_phylum" "tax_class" "tax_order" "tax_family" "tax_genus" "tax_specie"
"1" "NMG90_00005" 7.48734157083364 0.00197007648626104 0.795583130903188 0.00247626729343105 0.998024226577358 1 "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "PF13135.5" "DUF3947" "-" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"2" "NMG90_00010" 5.7242626019898 0.383036986884336 0.731215185450449 0.523836203768628 0.600392470147677 1 "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"3" "NMG90_00015" 13573.7399067712 0.250031810496018 0.215203073196532 1.16184126361281 0.245299949359747 1 "NULL" "NULL" "conserved hypothetical protein" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"4" "NMG90_00020" 2073.19311343214 0.342126507501271 0.217319144944129 1.57430449852556 0.115417070275088 1 "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"5" "NMG90_00025" 2965.38173786774 -0.0390929947185649 0.17413738187136 -0.22449513308661 0.822372053516633 1 "NULL" "NULL" "thioredoxin family protein" "NULL" "NULL" "NULL" "NULL" "PF00085.19" "Thioredoxin" "-" "NULL" "NULL" "NULL" "NULL" "COG0526" "TrxA" "Thiol-disulfide isomerase and thioredoxins" "Posttranslational modification, protein turnover, chaperones / Energy production and conversion" "KOG0910" "KOG0910" "Thioredoxin-like protein" "Posttranslational modification, protein turnover, chaperones" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"6" "NMG90_00030" 416.16530471974 -0.0334059030055621 0.243547390854572 -0.137163871427017 0.890901267372828 1 "NULL" "NULL" "cation diffusion facilitator family transporter" "NULL" "NULL" "NULL" "NULL" "PF01545.20" "Cation_efflux" "-" "NULL" "NULL" "NULL" "NULL" "COG0053" "MMT1" "Predicted Co/Zn/Cd cation transporters" "Inorganic ion transport and metabolism" "KOG1485" "KOG1485" "Mitochondrial Fe2+ transporter MMT1 and related transporters (cation diffusion facilitator superfamily)" "Inorganic ion transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"7" "NMG90_00035" 1484.09732845998 0.0831608948350699 0.116080911809583 0.716404562461442 0.473741578555271 1 "bcrC" "K19302" "undecaprenyl-diphosphatase" "NULL" "NULL" "ko00550" "Peptidoglycan biosynthesis" "PF01569.20" "PAP2" "-" "NULL" "NULL" "NULL" "NULL" "COG0671" "PgpB" "Membrane-associated phospholipid phosphatase" "Lipid metabolism" "KOG2822" "KOG2822" "Sphingoid base-phosphate phosphatase" "Lipid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"8" "NMG90_00040" 3445.94876521463 0.0425264850846193 0.108686510134786 0.391276571783203 0.695592814270656 1 "spo0M" "K06377" "sporulation-control protein" "NULL" "NULL" "NULL" "NULL" "PF07070.10" "Spo0M" "-" "NULL" "NULL" "NULL" "NULL" "COG4326" "Spo0M" "Sporulation control protein" "General function prediction only" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"9" "NMG90_00045" 3145.12106064267 -0.0354652981747274 0.127314714717373 -0.278564015584979 0.780579431337856 1 "K08884" "K08884" "serine/threonine protein kinase, bacterial" "NULL" "NULL" "NULL" "NULL" "PF00069.24" "Pkinase" "-" "NULL" "NULL" "NULL" "NULL" "COG0515" "SPS1" "Serine/threonine protein kinase" "General function prediction only / Signal transduction mechanisms / Transcription / DNA replication, recombination, and repair" "KOG0598" "KOG0598" "Ribosomal protein S6 kinase and related proteins" "General function prediction only, Signal transduction mechanisms" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"10" "NMG90_00050" 1511.33393167814 -0.0481441250941711 0.153546060254696 -0.313548423282965 0.753864037509585 1 "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"11" "NMG90_00055" 8.78329581239051 1.43735693344765 0.82489820666958 1.74246582405699 0.0814269665981575 1 "NULL" "NULL" "conserved hypothetical protein" "NULL" "NULL" "NULL" "NULL" "PF14162.5" "YozD" "-" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"12" "NMG90_00060" 15.5608475528844 0.311226432639883 0.580201836874456 0.5364106296465 0.591674786627222 1 "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "PF13067.5" "DUF3930" "-" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"13" "NMG90_00065" 37.7033165138312 0.340369018172799 0.390479918606879 0.871668431470533 0.383389286834548 1 "NULL" "NULL" "IG hypothetical 18022" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"14" "NMG90_00070" 1913.0431570804 -0.222131399347391 0.19471880273952 -1.14078042912241 0.25396130682044 1 "NULL" "NULL" "protein of unknown function DUF1250" "NULL" "NULL" "NULL" "NULL" "PF06855.11" "YozE_SAM_like" "-" "NULL" "NULL" "NULL" "NULL" "COG4479" "COG4479" "Uncharacterized protein conserved in bacteria" "Function unknown" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"15" "NMG90_00075" 6338.80636614659 0.126247667790096 0.329742530669584 0.382867407288149 0.701818078589382 1 "NULL" "NULL" "conserved hypothetical cytosolic protein" "NULL" "NULL" "NULL" "NULL" "PF14122.5" "YokU" "-" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"16" "NMG90_00080" 30778.5521823832 0.179654740212143 0.301855617789788 0.595167787591928 0.551731320108638 1 "kamA" "K01843" "lysine 2,3-aminomutase" "NULL" "NULL" "ko00310==ko01100" "Lysine degradation==Metabolic pathways" "PF12544.7" "LAM_C" "-" "NULL" "NULL" "NULL" "NULL" "COG1509" "KamA" "Lysine 2,3-aminomutase" "Amino acid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"17" "NMG90_00085" 9939.9272168991 0.144128540153513 0.212693977261439 0.677633386752428 0.498004171863221 1 "rocR" "K06714" "arginine utilization regulatory protein" "NULL" "NULL" "NULL" "NULL" "PF02954.18" "HTH_8" "-" "NULL" "NULL" "NULL" "NULL" "COG3829" "RocR" "Transcriptional regulator containing PAS, AAA-type ATPase, and DNA-binding domains" "Transcription / Signal transduction mechanisms" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"18" "NMG90_00090" 6077.8279895978 0.21031147180379 0.239397986835633 0.878501421769209 0.379671666482402 1 "ablB" "K21935" "beta-lysine N6-acetyltransferase" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"19" "NMG90_00095" 4375.81942854407 0.225032384181792 0.236444521428164 0.951734397661489 0.341231699824623 1 "argE" "K01438" "acetylornithine deacetylase" "M00028==M00845" "Ornithine biosynthesis, glutamate => ornithine==Arginine biosynthesis, glutamate => acetylcitrulline => arginine" "ko00220==ko01100==ko01110==ko01210==ko01230" "Arginine biosynthesis==Metabolic pathways==Biosynthesis of secondary metabolites==2-Oxocarboxylic acid metabolism==Biosynthesis of amino acids" "PF07687.13" "M20_dimer" "-" "NULL" "NULL" "NULL" "NULL" "COG0624" "ArgE" "Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases" "Amino acid transport and metabolism" "KOG2275" "KOG2275" "Aminoacylase ACY1 and related metalloexopeptidases" "Amino acid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"20" "NMG90_00100" 1451.5791881099 0.233563766601062 0.246775788267288 0.946461434652916 0.343913283518276 1 "atoA" "K01035" "acetate CoA/acetoacetate CoA-transferase beta subunit" "NULL" "NULL" "ko00310==ko00627==ko00640==ko00650==ko01100==ko01120==ko02020" "Lysine degradation==Aminobenzoate degradation==Propanoate metabolism==Butanoate metabolism==Metabolic pathways==Microbial metabolism in diverse environments==Two-component system" "PF01144.22" "CoA_trans" "-" "NULL" "NULL" "NULL" "NULL" "COG2057" "AtoA" "Acyl CoA:acetate/3-ketoacid CoA transferase, beta subunit" "Lipid metabolism" "KOG3822" "KOG3822" "Succinyl-CoA:alpha-ketoacid-CoA transferase" "Energy production and conversion" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"21" "NMG90_00105" 1328.68542178005 0.162328825177891 0.237740452952014 0.682798502157543 0.494734176291995 1 "atoD" "K01034" "acetate CoA/acetoacetate CoA-transferase alpha subunit" "NULL" "NULL" "ko00310==ko00627==ko00640==ko00650==ko01100==ko01120==ko02020" "Lysine degradation==Aminobenzoate degradation==Propanoate metabolism==Butanoate metabolism==Metabolic pathways==Microbial metabolism in diverse environments==Two-component system" "PF01144.22" "CoA_trans" "-" "NULL" "NULL" "NULL" "NULL" "COG1788" "AtoD" "Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit" "Lipid metabolism" "KOG3822" "KOG3822" "Succinyl-CoA:alpha-ketoacid-CoA transferase" "Energy production and conversion" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"22" "NMG90_00110" 3041.81427377523 0.209799914969168 0.202653298874273 1.03526523444027 0.300545060969383 1 "NULL" "NULL" "aminotransferase class-III family protein" "NULL" "NULL" "NULL" "NULL" "PF00202.20" "Aminotran_3" "-" "NULL" "NULL" "NULL" "NULL" "COG0161" "BioA" "Adenosylmethionine-8-amino-7-oxononanoate aminotransferase" "Coenzyme metabolism" "KOG1404" "KOG1404" "Alanine-glyoxylate aminotransferase AGT2" "Amino acid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"23" "NMG90_00115" 409.162625395292 -0.0387692471824702 0.158052285528126 -0.245293809279151 0.806228944838013 1 "NULL" "NULL" "conserved hypothetical protein" "NULL" "NULL" "NULL" "NULL" "PF14344.5" "DUF4397" "-" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"24" "NMG90_00120" 20124.4054560736 0.0296611450255357 0.179460031910858 0.165279949578238 0.868723639689696 1 "NULL" "NULL" "histidine kinase" "NULL" "NULL" "NULL" "NULL" "PF02518.25" "HATPase_c" "-" "NULL" "NULL" "NULL" "NULL" "COG0642" "BaeS" "Signal transduction histidine kinase" "Signal transduction mechanisms" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
